epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1032.94,0.46967,0.84513,0.42994,1.0327,0.91442,0.74024,0.8126,0.67766,0.91367,0.75728,0.82966,0.61799,0.74911,1.95772,0.91212,1.14697,0.00074437,0.00074437,0.00074437
102,1043.09,0.4651,0.84007,0.41069,1.02859,0.92518,0.7689,0.83241,0.70694,0.92795,0.7758,0.83865,0.62813,0.65632,1.86931,0.81215,1.03314,0.000740704,0.000740704,0.000740704
103,1053.34,0.4698,0.83168,0.41517,1.03258,0.92009,0.76486,0.81474,0.68259,0.92721,0.77048,0.82227,0.60744,0.67433,2.28557,0.84191,1.07475,0.000737037,0.000737037,0.000737037
104,1063.55,0.45586,0.82745,0.38883,1.02089,0.90486,0.77369,0.81334,0.68044,0.90875,0.77754,0.81984,0.6048,0.68998,2.32821,0.96779,1.0561,0.000733371,0.000733371,0.000733371
105,1073.7,0.46204,0.84656,0.41554,1.02486,0.92385,0.75949,0.81305,0.68453,0.93285,0.76751,0.82013,0.60004,0.67967,2.08353,0.88507,1.05698,0.000729705,0.000729705,0.000729705
106,1083.87,0.46175,0.81912,0.39514,1.02978,0.90738,0.77995,0.8442,0.71235,0.90984,0.78581,0.84171,0.63856,0.68493,1.90182,0.78206,1.06781,0.000726038,0.000726038,0.000726038
107,1094.1,0.45102,0.80092,0.38431,1.02746,0.90498,0.76375,0.83056,0.70009,0.91569,0.77272,0.83652,0.61863,0.72991,2.16656,0.82654,1.11764,0.000722372,0.000722372,0.000722372
108,1104.25,0.45135,0.79758,0.39424,1.01766,0.89118,0.73639,0.79741,0.66783,0.90208,0.74024,0.80486,0.59587,0.73079,2.1477,0.98305,1.09851,0.000718706,0.000718706,0.000718706
109,1114.45,0.45519,0.78941,0.39475,1.01979,0.91887,0.77813,0.83737,0.70772,0.92599,0.78428,0.84245,0.63744,0.69098,1.89389,0.81097,1.05098,0.00071504,0.00071504,0.00071504
110,1124.55,0.45134,0.79241,0.38799,1.02213,0.90068,0.77995,0.83065,0.70199,0.90518,0.78241,0.83808,0.63036,0.71636,1.97278,0.83278,1.09033,0.000711373,0.000711373,0.000711373
111,1134.84,0.45349,0.77777,0.38182,1.01769,0.9108,0.77313,0.83737,0.70441,0.91305,0.77769,0.84358,0.63495,0.74314,2.08026,0.87001,1.12855,0.000707707,0.000707707,0.000707707
112,1145.12,0.45849,0.82416,0.39956,1.02405,0.9201,0.75952,0.8282,0.6854,0.9265,0.76859,0.83331,0.61216,0.69375,2.00105,0.83324,1.07041,0.000704041,0.000704041,0.000704041
113,1155.29,0.452,0.81847,0.38556,1.01534,0.93278,0.74197,0.81383,0.68458,0.90442,0.76553,0.82111,0.60642,0.69651,2.13939,0.90907,1.10108,0.000700374,0.000700374,0.000700374
114,1165.51,0.452,0.80329,0.38725,1.02213,0.90901,0.7641,0.8193,0.68865,0.91748,0.77132,0.83124,0.61728,0.6644,1.86625,0.81042,1.03277,0.000696708,0.000696708,0.000696708
115,1175.68,0.45051,0.79638,0.3857,1.01955,0.9157,0.78132,0.83412,0.69502,0.92631,0.79073,0.84638,0.61433,0.67655,1.77601,0.81252,1.04599,0.000693042,0.000693042,0.000693042
116,1185.9,0.44949,0.78532,0.37612,1.01532,0.87818,0.77231,0.79293,0.66804,0.90023,0.76752,0.80137,0.59557,0.72137,2.18927,0.98536,1.08312,0.000689376,0.000689376,0.000689376
117,1196.03,0.43381,0.75878,0.37152,1.00895,0.91411,0.7741,0.8328,0.7014,0.93044,0.7748,0.83882,0.61429,0.72676,1.98274,0.85007,1.10998,0.000685709,0.000685709,0.000685709
118,1206.21,0.44586,0.7973,0.38379,1.01176,0.8817,0.77616,0.81388,0.68253,0.89559,0.79118,0.83122,0.6129,0.7157,1.99913,0.91716,1.12044,0.000682043,0.000682043,0.000682043
119,1216.32,0.4511,0.78283,0.37008,1.00996,0.91411,0.7546,0.84132,0.70895,0.92768,0.7655,0.85296,0.6382,0.69064,1.88804,0.84808,1.07609,0.000678377,0.000678377,0.000678377
120,1226.44,0.45439,0.76807,0.38303,1.01921,0.91143,0.75722,0.81728,0.69048,0.91515,0.75911,0.83014,0.60748,0.6884,1.94026,0.86847,1.03883,0.00067471,0.00067471,0.00067471
121,1236.55,0.43924,0.75864,0.3801,1.00392,0.85311,0.75716,0.79958,0.67444,0.8963,0.75297,0.80928,0.60186,0.69347,1.92237,0.88546,1.07459,0.000671044,0.000671044,0.000671044
122,1246.74,0.44102,0.76143,0.38024,1.01592,0.90753,0.76675,0.81634,0.68903,0.91861,0.77629,0.83088,0.60177,0.6771,2.01743,0.84695,1.07153,0.000667378,0.000667378,0.000667378
123,1256.83,0.44048,0.75486,0.3833,1.00823,0.92284,0.73332,0.80732,0.68638,0.88084,0.76859,0.81755,0.61559,0.64631,2.01133,0.87527,1.01968,0.000663711,0.000663711,0.000663711
124,1267.07,0.45513,0.75727,0.38269,1.02333,0.91903,0.7629,0.84456,0.71094,0.91753,0.77622,0.85233,0.63997,0.69569,1.9366,0.79392,1.08284,0.000660045,0.000660045,0.000660045
125,1277.28,0.44298,0.78173,0.37422,1.01352,0.89461,0.76617,0.83019,0.7103,0.90719,0.77759,0.84506,0.636,0.69573,2.08615,0.81878,1.08243,0.000656379,0.000656379,0.000656379
126,1287.44,0.44774,0.80213,0.37903,1.02053,0.90229,0.78808,0.82903,0.69385,0.91953,0.78482,0.83277,0.62195,0.6962,2.34948,0.76621,1.09895,0.000652712,0.000652712,0.000652712
